日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,4,6093.0,719.0,"[4, 5, 2, 2, 3, 1, 6, 7, 6, 4, 7, 5, 4, 4, 6, 4, 3, 4, 5, 5]","[4, 5, 2, 3, 1, 6, 7, 6, 4, 7, 5, 4, 6]","[0, 30, 75, 150, 225, 315, 375, 450, 510, 555, 630, 660, 690]"
,6,4210.0,498.5,"[5, 7, 5, 5, 3, 4, 7, 2, 5, 2]","[5, 7, 5, 3, 4, 7, 2, 5, 2]","[0, 30, 75, 135, 195, 255, 315, 390, 435]"
,10,6179.0,711.0,"[4, 4, 6, 4, 7, 2, 6, 3, 4, 7, 4, 7, 4, 7, 4, 0, 4]","[4, 6, 4, 7, 2, 6, 3, 4, 7, 4, 7, 4, 7]","[0, 30, 75, 135, 195, 270, 330, 390, 435, 510, 555, 615, 660]"
,5,5614.0,717.0,"[4, 5, 6, 4, 3, 3, 5, 0, 4, 6, 3, 3, 5, 5, 5, 0, 2, 1, 1, 2]","[4, 5, 6, 4, 3, 5, 0, 4, 6, 3, 5, 0]","[0, 30, 75, 135, 195, 255, 300, 405, 465, 525, 585, 630]"
,7,5657.0,714.5,"[4, 7, 0, 6, 7, 5, 0, 3, 4, 5, 3, 4, 6, 2, 4, 3]","[4, 7, 0, 6, 7, 5, 0, 3, 4, 5, 3, 4]","[0, 30, 75, 210, 270, 345, 390, 495, 555, 615, 645, 705]"
,3,5699.0,708.0,"[4, 4, 1, 4, 2, 4, 7, 3, 4, 4, 3, 7, 6, 4, 6, 0, 1, 7, 3, 5]","[4, 1, 4, 2, 4, 7, 3, 4, 3, 7, 6, 4]","[0, 30, 165, 225, 300, 345, 420, 480, 525, 585, 660, 690]"
,3,6083.0,709.0,"[6, 7, 7, 7, 5, 6, 5, 3, 4, 4, 3, 7, 5, 4, 2, 3, 3]","[6, 7, 5, 6, 5, 3, 4, 3, 7, 5, 4, 2, 3]","[0, 45, 105, 150, 210, 255, 315, 375, 450, 525, 570, 615, 675]"
,7,5253.0,709.5,"[2, 4, 7, 4, 4, 3, 7, 4, 7, 4, 7, 0, 3, 4, 2, 1, 4, 6]","[2, 4, 7, 4, 3, 7, 4, 7, 4, 7, 0]","[0, 75, 135, 195, 255, 315, 390, 435, 510, 555, 615]"
,8,6090.0,708.0,"[4, 5, 0, 6, 4, 3, 6, 3, 4, 5, 4, 3, 5, 4, 1, 2, 6, 6]","[4, 5, 0, 6, 4, 3, 6, 3, 4, 5, 4, 3, 5]","[0, 30, 75, 195, 270, 315, 375, 450, 510, 555, 600, 645, 690]"
,7,5613.0,710.0,"[5, 4, 7, 7, 3, 0, 3, 5, 3, 2, 6, 2, 5, 4, 5, 7, 4, 2]","[5, 4, 7, 3, 0, 3, 5, 3, 2, 6, 2, 5]","[0, 30, 75, 150, 210, 330, 390, 435, 495, 570, 630, 690]"
,10,6118.0,708.5,"[6, 7, 7, 5, 4, 3, 4, 4, 3, 4, 5, 4, 2, 1, 2, 6]","[6, 7, 5, 4, 3, 4, 3, 4, 5, 4, 2, 1, 2]","[0, 45, 105, 150, 210, 270, 330, 390, 450, 495, 540, 615, 705]"
,5,5181.0,714.5,"[6, 7, 2, 4, 0, 3, 3, 4, 3, 5, 6, 0, 4, 5, 4, 3, 2, 6, 5]","[6, 7, 2, 4, 0, 3, 4, 3, 5, 6, 0]","[0, 45, 105, 180, 225, 345, 405, 465, 525, 570, 630]"
,6,5239.0,710.0,"[7, 0, 1, 4, 7, 4, 3, 4, 7, 3, 4, 5, 4, 2, 4, 7]","[7, 0, 1, 4, 7, 4, 3, 4, 7, 3, 4]","[0, 45, 195, 300, 345, 420, 465, 540, 585, 645, 690]"
